               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.037937,           0.0062731,                   0,             0.66666,             0.52632,             0.47319,             0.24279,            0.063341,              0.0104,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.041538,           0.0063601,                   0,             0.72274,             0.57895,             0.49551,             0.20171,            0.061963,            0.010445,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.037449,           0.0060381,                   0,             0.73329,             0.57884,             0.49491,             0.14597,            0.063936,            0.011545,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.039036,           0.0056112,                   0,             0.64691,             0.57895,             0.45675,             0.17967,            0.062775,            0.011298,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.037784,           0.0061209,                   0,             0.52937,             0.47361,             0.41366,             0.16074,            0.062263,            0.012172,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.039424,           0.0057636,                   0,             0.46419,             0.68396,              0.3884,             0.13201,            0.067657,            0.011447,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.036464,           0.0056647,                   0,             0.42031,             0.42105,             0.28517,             0.10508,            0.069118,            0.011314,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.037579,            0.005701,                   0,             0.71428,             0.52632,             0.45271,             0.14605,            0.061565,            0.010027,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.036396,           0.0058095,                   0,             0.64704,             0.57889,              0.4749,             0.16587,            0.062309,            0.010024,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.039396,           0.0059279,                   0,             0.59972,             0.47368,             0.37416,             0.14621,            0.065599,            0.010382,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.038841,           0.0058679,                   0,             0.71418,             0.52632,             0.40497,             0.14732,             0.06511,            0.010414,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.036384,           0.0061608,                   0,             0.71417,             0.52632,             0.40869,             0.13734,             0.06571,            0.010912,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.034098,           0.0057136,                   0,             0.59994,             0.47368,              0.3693,             0.13008,            0.067937,             0.01135,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.038521,           0.0058027,                   0,             0.64209,             0.47368,             0.36482,             0.12963,             0.06515,            0.011396,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,            0.035857,           0.0058943,                   0,             0.59986,             0.47368,              0.3123,             0.14889,            0.066154,            0.011492,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.035863,           0.0056744,                   0,             0.52915,             0.47368,             0.30523,             0.11239,            0.066713,            0.011649,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.034223,           0.0054126,                   0,             0.63624,             0.47368,             0.35899,             0.15985,            0.064127,            0.010993,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.036866,           0.0058793,                   0,             0.64279,             0.47356,             0.33156,             0.13653,            0.068615,            0.011285,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.037845,           0.0059997,                   0,              0.5712,             0.42105,             0.36395,              0.1197,             0.06926,            0.011741,                   0,            0.004936,            0.004936,            0.004936
                 164,            0.032625,           0.0053053,                   0,             0.52914,             0.47368,             0.32407,              0.1222,            0.068119,            0.011957,                   0,           0.0048893,           0.0048893,           0.0048893
